threshold,precision,recall,f1
0.01,0.40551792570861556,1.0,0.5770370029313812
0.012722222222222222,0.40551792570861556,1.0,0.5770370029313812
0.015444444444444445,0.40551792570861556,1.0,0.5770370029313812
0.018166666666666664,0.40551792570861556,1.0,0.5770370029313812
0.020888888888888887,0.40551792570861556,1.0,0.5770370029313812
0.02361111111111111,0.40551792570861556,1.0,0.5770370029313812
0.026333333333333334,0.40551792570861556,1.0,0.5770370029313812
0.029055555555555557,0.40551792570861556,1.0,0.5770370029313812
0.03177777777777778,0.40551792570861556,1.0,0.5770370029313812
0.0345,0.40551792570861556,1.0,0.5770370029313812
0.037222222222222226,0.40551792570861556,1.0,0.5770370029313812
0.03994444444444444,0.40551792570861556,1.0,0.5770370029313812
0.042666666666666665,0.40551792570861556,1.0,0.5770370029313812
0.04538888888888889,0.40552667342580406,1.0,0.5770458591687642
0.04811111111111111,0.40552667342580406,1.0,0.5770458591687642
0.050833333333333335,0.40552667342580406,1.0,0.5770458591687642
0.05355555555555556,0.40552667342580406,1.0,0.5770458591687642
0.05627777777777778,0.4055441699924496,1.0,0.5770635724590969
0.059000000000000004,0.4055441699924496,1.0,0.5770635724590969
0.06172222222222223,0.4055529188419554,1.0,0.5770724295120716
0.06444444444444444,0.40556166806894917,1.0,0.5770812868369352
0.06716666666666667,0.40558791801510247,1.0,0.5771078604429846
0.06988888888888889,0.40563167547739776,1.0,0.5771521552253469
0.07261111111111111,0.4056929517890284,1.0,0.5772141793450727
0.07533333333333332,0.4057192187331391,1.0,0.5772407651917585
0.07805555555555554,0.4057717628267392,1.0,0.5772939442328953
0.08077777777777777,0.4058155599689146,1.0,0.5773382675859527
0.08349999999999999,0.40585060449050087,1.0,0.5773737311690904
0.08622222222222221,0.405903182622965,1.0,0.577426934713498
0.08894444444444444,0.40595577438023667,1.0,0.5774801480639563
0.09166666666666666,0.40609608571675454,1.0,0.5776220982931588
0.09438888888888888,0.4061487274769909,1.0,0.57767534762234
0.0971111111111111,0.4061926060370346,1.0,0.5777197295636141
0.09983333333333333,0.40626283145678904,1.0,0.5777907548561594
0.10255555555555555,0.4063330811628661,1.0,0.5778617976146564
0.10527777777777778,0.4063594310665341,1.0,0.5778884431533484
0.108,0.406438501286403,1.0,0.5779683945151571
0.11072222222222222,0.4065088117634339,1.0,0.5780394809667302
0.11344444444444444,0.4065351844643398,1.0,0.578066142894482
0.11616666666666667,0.4065703533889874,1.0,0.5781016959576857
0.11888888888888889,0.40663191365101337,1.0,0.5781639243426111
0.1216111111111111,0.40671108995716326,1.0,0.5782439519539841
0.12433333333333332,0.4067990998009175,1.0,0.5783328975096522
0.12705555555555556,0.40685669761703785,0.9999468056811532,0.5783822036245039
0.12977777777777777,0.4069359657098324,0.9999468056811532,0.5784622959395628
0.1325,0.40700645217165377,0.9999468056811532,0.5785335077325536
0.13522222222222224,0.40706814785941664,0.9999468056811532,0.5785958324355935
0.13794444444444445,0.4071915953644536,0.9999468056811532,0.5787205221353365
0.14066666666666666,0.40723570190641245,0.9999468056811532,0.5787650671962314
0.1433888888888889,0.40736807888178567,0.9999468056811532,0.5788987435328898
0.1461111111111111,0.40742988426026266,0.9999468056811532,0.5789611469578206
0.14883333333333335,0.40753587998092183,0.9999468056811532,0.5790681555641124
0.15155555555555555,0.40768613502786877,0.9999468056811532,0.5792198188204843
0.1542777777777778,0.4077705707529774,0.9998936113623065,0.5792961045364892
0.157,0.4078462005815215,0.9998404170434597,0.5793634892502119
0.15972222222222224,0.40795242436081086,0.9998404170434597,0.5794706580549689
0.16244444444444445,0.4080901511203752,0.999787222724613,0.579600647598489
0.16516666666666668,0.4081965076882981,0.999787222724613,0.5797079098746203
0.1678888888888889,0.40833840271139304,0.999787222724613,0.5798509880142533
0.17061111111111113,0.4084556026518857,0.999574445449226,0.5799333374483057
0.17333333333333334,0.40865102320422764,0.999574445449226,0.5801302831033311
0.17605555555555558,0.4088555265448216,0.999574445449226,0.5803363239086459
0.17877777777777779,0.4090869508425132,0.999574445449226,0.5805694159084238
0.18150000000000002,0.4092562343460743,0.999574445449226,0.5807398708162067
0.18422222222222223,0.40937711061243165,0.9995212511303793,0.5808525765866024
0.18694444444444444,0.4095734245918434,0.9995212511303793,0.5810501577091967
0.18966666666666668,0.4097173761339846,0.9994148624926857,0.5811770164720439
0.1923888888888889,0.4099290780141844,0.9992552795361456,0.5813629611289923
0.19511111111111112,0.41013492860573775,0.9992552795361456,0.5815699447376975
0.19783333333333333,0.4103639620745401,0.9992020852172988,0.5817911511003051
0.20055555555555557,0.41052263437452186,0.9990425022607585,0.5819235297762905
0.20327777777777778,0.41080217881127906,0.998936113623065,0.5821862599206349
0.20600000000000002,0.4110230705248873,0.9988829193042184,0.5823990075211289
0.20872222222222223,0.4113253012048193,0.9988297249853716,0.5826932923707118
0.21144444444444446,0.41153778712958095,0.9987765306665248,0.5828974124148208
0.21416666666666667,0.4118679390150269,0.9987233363476781,0.5832194333996024
0.2168888888888889,0.41213917242893205,0.9987233363476781,0.5834913136712558
0.21961111111111112,0.4124975281787621,0.9986701420288313,0.5838412737902724
