MAX_DPD_30D,NUM_PAID_20PER_DAYS_1_TO_7_D,TILLDATE_MAX_DPD,NUM_NOCOUNTERPARTYPAYMENTCOMPLETED_1_TO_7_D,NUM_PAID_20PER_DAYS_8_TO_15_D,MAX_BOD_DPD_1_TO_7_D,COLLECTED_AMOUNT_EOD,MAX_DPD_W1,DAYS_DPD_1_2_W1,MAX_BOD_DPD_16_TO_30_D,NUM_PAID_20PER_DAYS_16_TO_30_D,NUM_NO_CALL_ALLOCATED_LOANS_1_TO_7_D,MAX_DPD_W2,EMI_PER_MAX_DPD_30D,AVG_DPD_30D,MAX_BOD_DPD_8_TO_15_D,DAYS_DPD_3_5_W1,AVG_BOD_DPD_1_TO_7_D,NUM_NOCOUNTERPARTYPAYMENTCOMPLETED_16_TO_30_D,MAX_ACTUAL_DPD_16_TO_30_D,NUM_NOCOUNTERPARTYPAYMENTCOMPLETED_8_TO_15_D,RATIO__MAX_ACTUAL_DPD_1_TO_7_D_vs_8_TO_15_D,RATIO__AVG_ACTUAL_DPD_1_TO_7_D_vs_8_TO_15_D,DAYS_DPD_1_2_W2,AVG_DPD_W2,TOTAL_DAYS_LATE_30D,AVG_DPD_W1,MAX_DPD_W4,AVG_BOD_DPD_16_TO_30_D,PCT_DAYS_LATE_30D,RATIO__AVG_ACTUAL_DPD_1_TO_7_D_vs_16_TO_30_D,DAYS_DPD_1_2_W4,NO_OF_MODES_OF_REPAYMENTS_USED,DAYS_DPD_3_5_W2,RATIO__AVG_BOD_DPD_1_TO_7_D_vs_8_TO_15_D,AVG_ACTUAL_DPD_1_TO_7_D,RATIO__MAX_ACTUAL_DPD_1_TO_7_D_vs_16_TO_30_D,COLLECTED_AMOUNT_CUMULATIVE,MAX_ACTUAL_DPD_8_TO_15_D,AVG_ACTUAL_DPD_16_TO_30_D,NO_OF_DAYS_SINCE_FIRST_EDI,RATIO__AVG_ACTUAL_DPD_8_TO_15_D_vs_16_TO_30_D,MIN_AVAILABLE_BALANCE_LAST_1_2_DAY,NUM_BOD_DPD_4_10_LOANS_1_TO_7_D,AVG_BOD_DPD_8_TO_15_D,NUM_NO_CALL_ALLOCATED_LOANS_8_TO_15_D,RATIO__NUM_HIGH_RISK_LOANS_8_TO_15_D_vs_16_TO_30_D,NUM_TOTAL_SMS_LAST_7_8_DAY,RATIO__AVG_BOD_DPD_1_TO_7_D_vs_16_TO_30_D,NUM_HIGH_RISK_LOANS_16_TO_30_D
0.2466977,-0.16902389,0.154226,-0.09525433,0.079663314,0.039451223,0.017443929,0.08178351,-0.04865253,0.041869305,-0.0059092455,-0.030404331,0.048734955,0.013461573,0.07192788,0.04857325,0.039802946,0.039152496,-0.026655775,0.02987321,-0.0011906618,0.011672698,-0.00090471224,-0.027705584,0.017284501,-0.09372274,0.025959777,-0.014020299,0.0746045,-0.083469965,-0.0046514776,-0.009412766,-0.009550972,-0.0031455127,0.082163155,0.047240853,-0.009087184,-0.017544052,0.011503525,0.05450546,-0.02859222,0.020918608,0.032754514,0.00064836524,-0.022999609,-0.021623882,0.042494804,0.03473091,0.019921992,0.023254508
-0.16178937,-0.0057462337,0.61104655,0.040774263,-0.022710554,-0.0006736661,0.01713166,-0.04825467,-0.017393788,-0.053900465,-0.028350838,-0.058708213,-0.044019606,0.015351029,-0.046948116,-0.040473107,-0.0039963787,-0.006348322,0.09448576,-0.028176652,0.05248683,0.004704076,0.0098370705,0.066380225,-0.03274532,0.10301252,-0.033009335,-0.020271562,0.058791626,0.05820745,-0.005853839,0.0219151,0.031804338,-0.013424394,0.0013009991,0.0015670563,0.013468235,-0.028135827,-0.017387861,0.0012086823,-0.0026524323,-0.00496453,-0.0054174536,-0.0049933703,0.0005737764,-0.043330025,-0.07077001,-0.020150626,0.023905253,0.02845801
0.116238445,0.08049622,-0.02810483,0.088808455,0.07814714,0.09990653,-0.001977892,0.08009959,-0.03059725,0.036125023,0.032345645,-0.041058626,-0.02141839,0.03726562,0.08331309,0.0137142595,0.071514614,-0.010861224,-0.021153195,0.034112047,0.0116404025,-0.02238124,0.058381278,-0.08286942,0.027811151,-0.09189706,0.014352532,0.0092962915,0.012955946,-0.105644576,-0.022790145,-0.04438729,0.015150011,-0.009528607,0.072507404,0.0136846695,0.036505815,0.008125509,0.0074805385,0.031267516,-0.0010690223,0.002638406,-0.015820656,-0.0040780036,-0.0014376936,-0.028496401,0.03284378,0.0055523207,0.061537694,-0.013417389
0.2672676,-0.07203014,0.14273164,-0.027625516,-0.0042715725,0.06664124,-0.09988943,0.07688021,-0.0368964,0.0324023,0.011774953,-0.04426781,0.032001425,0.03107149,0.09767833,0.043125134,0.035660353,0.0060921023,0.022174573,0.0206439,-0.012309591,0.0014247769,-0.008142379,0.009196408,0.05421488,-0.055101156,-0.007806295,0.017038893,0.01963313,-0.07498265,-0.0062015364,-0.0019556705,-0.056438956,0.028581437,-0.005400292,-0.006236625,0.0037974548,0.086878285,0.008764543,0.036759797,-0.020495513,0.0061298194,-0.051723804,0.004738827,-0.001558619,-0.019273229,-0.0044010608,0.01983386,-0.00039900874,-0.019679308
0.06736514,0.019613879,-0.062986545,-0.027071817,0.02867555,0.078239046,0.010754531,-0.06089823,-0.019249741,0.06749329,0.018776787,-0.04790391,0.06620874,-0.0056934035,-0.041560277,0.0071343346,-0.01870165,-0.020806996,-0.029936098,0.04578365,0.026960596,-0.013163728,-0.035928812,0.0041403966,0.011438051,-0.04674486,-0.02112649,0.03179116,-0.02243186,-0.042628326,-0.0354701,-0.015481604,0.014360556,0.0049811667,0.0014259331,-0.014851153,-0.008856766,0.07036895,0.038929,0.026442062,0.049037352,0.015120746,0.035936516,-0.0076656174,0.013335624,-0.028612094,-0.009894247,-0.012060503,0.009671542,-0.0057962765
-0.21715523,-0.13876683,-0.25429106,0.1338174,-0.112425014,-0.0820477,0.05433362,-0.07088161,0.072071284,-0.100857034,-0.03049731,0.28634927,0.0021117975,-0.036566947,-0.10750909,0.006947133,-0.012237002,-0.013562034,-0.005943917,-0.023310164,0.0641065,-0.029855203,0.022004033,0.034561783,-0.06807463,0.1421191,0.01767918,-0.017726218,0.033906482,0.10106681,0.019663053,0.06487214,0.024881393,-0.024493497,-0.12327287,0.011651479,0.007193924,-0.18358664,0.0077070757,-0.04651959,0.04361334,0.014063658,-0.029440898,-0.0015818587,0.013018976,0.13964161,0.04844309,-0.038666368,0.010258666,-0.021228936
-0.22296649,0.04543711,-0.23147725,0.09379376,-0.022905754,-0.0052418686,0.004604449,-0.04438587,-0.0332062,-0.07985414,0.0019148468,-0.062961,-0.047680236,0.034836132,-0.069266535,-0.05621146,-0.016524479,-0.015249226,0.007940454,-0.048417762,0.03471761,0.012178809,0.03506642,0.05391796,-0.050450742,0.0129069025,-0.012007346,-0.029823463,-0.005677373,0.035899755,0.0021240087,0.033725087,0.014856343,-0.018832043,0.021101968,-0.0072085382,-0.005193971,0.07028195,-0.026247362,-0.030833554,0.03879194,-0.0024054125,-0.0023151152,0.0011178224,0.007024671,-0.033227388,0.006765216,-0.008199258,0.03224462,-0.012362211
-0.17676146,-0.096526295,0.28876352,-0.06508129,-0.0104019735,-0.004153759,-0.12549126,-0.034940485,-0.10954927,-0.01578901,-0.05873198,-0.05754873,-0.03797776,-0.01689051,-0.004642387,-0.045557957,-0.008472692,-0.004461939,-0.020670492,-0.0057339785,-0.11391745,-0.019043664,0.038031466,-0.043421485,-0.04386508,-0.055686228,0.021799553,-0.037048955,-0.023578983,-0.020428164,-0.006478924,0.027413925,-0.029341754,-0.010966732,0.049002215,0.025082136,0.04107763,-0.035849754,-0.018910285,-0.043283746,0.008008649,-0.016265562,-0.008007019,0.0018601598,-0.0035748659,-0.024137309,0.074983336,-0.012526639,0.026677111,0.037033655
-0.18809755,0.006205763,-0.25415647,-0.040091973,0.0028921168,-0.07834738,-0.12545772,-0.16074081,0.037190087,-0.009734533,0.09394274,-0.066131756,0.016784368,-0.00050016865,-0.08676018,0.009223966,-0.01493581,0.0052012648,0.04400867,-0.044516724,-0.04989874,-0.0510759,0.005830985,0.023918832,-0.018860336,0.13209216,-0.016041894,0.032329213,0.09644062,0.109500244,-0.032928653,0.054441206,-0.05606277,-0.023336604,-0.02584351,0.0107445745,-0.046223678,-0.088247515,0.011309625,0.06900371,0.04706544,0.021451797,0.022594936,0.000501379,-0.0056910743,-0.04585486,0.04738847,0.031923812,-0.012433877,-0.043005407
-0.1921049,-0.14218847,-0.17875902,0.073764354,-0.049066607,0.015483007,-0.1565717,-0.033530843,-0.03174002,0.025019702,0.11120244,-0.06881296,-0.07298665,0.017616251,0.08660865,-0.04671829,-0.007984453,-0.007103922,0.0019197632,-0.07866023,0.020144295,0.021866484,0.0063667716,-0.017645406,-0.024334386,0.08735617,-0.0256997,-0.05036502,-0.025340602,-0.09960248,-0.04746841,0.020608647,-0.040715937,-0.022472773,-0.03003211,0.0012314497,-0.058006227,0.13083911,-0.019368764,-0.020209499,0.08417589,0.04220283,0.15145767,0.018308697,-0.01438263,-0.03886093,-0.040435098,-0.04630371,-0.00090188836,-0.039431255
